user,date,cluster,cluster_name
113,2022-03-15 22:31:32,11,Regular
113,2022-03-20 12:12:27,14,Regular_achieverlike
113,2022-04-08 09:44:09,12,Halfhearted
113,2022-04-11 18:18:27,12,Halfhearted
113,2022-04-19 13:00:42,12,Halfhearted
113,2022-04-26 19:31:44,12,Halfhearted
113,2022-05-05 17:26:32,12,Halfhearted
114,2022-03-15 22:31:32,12,Halfhearted
114,2022-03-20 12:12:27,12,Halfhearted
114,2022-04-08 09:44:09,12,Halfhearted
114,2022-04-11 18:18:27,12,Halfhearted
114,2022-04-19 13:00:42,12,Halfhearted
114,2022-04-26 19:31:44,12,Halfhearted
114,2022-05-05 17:26:32,12,Halfhearted
115,2022-03-15 22:31:32,13,Underachiever
115,2022-03-20 12:12:27,12,Halfhearted
115,2022-04-08 09:44:09,13,Underachiever
115,2022-04-11 18:18:27,13,Underachiever
115,2022-04-19 13:00:42,12,Halfhearted
115,2022-04-26 19:31:44,12,Halfhearted
115,2022-05-05 17:26:32,12,Halfhearted
116,2022-03-15 22:31:32,13,Underachiever
116,2022-03-20 12:12:27,13,Underachiever
116,2022-04-08 09:44:09,13,Underachiever
116,2022-04-11 18:18:27,13,Underachiever
116,2022-04-19 13:00:42,13,Underachiever
116,2022-04-26 19:31:44,13,Underachiever
116,2022-05-05 17:26:32,13,Underachiever
117,2022-03-15 22:31:32,11,Regular
117,2022-03-20 12:12:27,15,Regular_halfheartedlike
117,2022-04-08 09:44:09,15,Regular_halfheartedlike
117,2022-04-11 18:18:27,15,Regular_halfheartedlike
117,2022-04-19 13:00:42,12,Halfhearted
117,2022-04-26 19:31:44,12,Halfhearted
117,2022-05-05 17:26:32,12,Halfhearted
118,2022-03-15 22:31:32,13,Underachiever
118,2022-03-20 12:12:27,13,Underachiever
119,2022-03-15 22:31:32,13,Underachiever
119,2022-03-20 12:12:27,13,Underachiever
120,2022-03-15 22:31:32,11,Regular
120,2022-03-20 12:12:27,14,Regular_achieverlike
120,2022-04-08 09:44:09,12,Halfhearted
120,2022-04-11 18:18:27,12,Halfhearted
120,2022-04-19 13:00:42,12,Halfhearted
120,2022-04-26 19:31:44,12,Halfhearted
120,2022-05-05 17:26:32,12,Halfhearted
121,2022-03-15 22:31:32,13,Underachiever
121,2022-03-20 12:12:27,13,Underachiever
121,2022-04-08 09:44:09,13,Underachiever
121,2022-04-11 18:18:27,13,Underachiever
121,2022-04-19 13:00:42,13,Underachiever
121,2022-04-26 19:31:44,13,Underachiever
121,2022-05-05 17:26:32,13,Underachiever
122,2022-03-15 22:31:32,13,Underachiever
122,2022-03-20 12:12:27,13,Underachiever
123,2022-03-15 22:31:32,11,Regular
123,2022-03-20 12:12:27,14,Regular_achieverlike
123,2022-04-08 09:44:09,12,Halfhearted
123,2022-04-11 18:18:27,12,Halfhearted
123,2022-04-19 13:00:42,12,Halfhearted
123,2022-04-26 19:31:44,12,Halfhearted
123,2022-05-05 17:26:32,12,Halfhearted
124,2022-03-15 22:31:32,11,Regular
124,2022-03-20 12:12:27,15,Regular_halfheartedlike
124,2022-04-08 09:44:09,12,Halfhearted
124,2022-04-11 18:18:27,12,Halfhearted
