user,15 3 2022,20 3 2022,08 4 2022,11 4 2022,19 4 2022,26 4 2022,05 5 2022
169,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,
170,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
171,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
172,Regular,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Halfhearted
173,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,
174,Regular,Regular_halfheartedlike,Achiever,Achiever,Achiever,Achiever,Achiever,
175,Regular,Regular_halfheartedlike,Achiever,Achiever,Achiever,Achiever,Achiever,
176,Halfhearted,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
177,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Achiever,Achiever,Achiever,
178,Achiever,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,
179,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
180,Achiever,Achiever,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Halfhearted
181,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
182,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Halfhearted
183,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_halfheartedlike,Halfhearted
184,Regular,Achiever,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Halfhearted
185,Achiever,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
186,Regular,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
209,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Achiever,
210,Underachiever,Halfhearted,Underachiever,Underachiever,Underachiever,Underachiever,Halfhearted
289,Regular,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
290,Regular,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Regular_halfheartedlike,Halfhearted
291,Halfhearted,Halfhearted,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
292,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
293,Regular,Regular_halfheartedlike,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted
294,Halfhearted,Halfhearted,Regular_halfheartedlike,Halfhearted,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,
367,Achiever,Regular_achieverlike,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted
368,Underachiever,Underachiever,Halfhearted,Halfhearted,Halfhearted,Regular_halfheartedlike,Halfhearted
369,Halfhearted,Regular_achieverlike,Halfhearted,Halfhearted,Regular_halfheartedlike,Halfhearted,Halfhearted
370,Achiever,Regular_achieverlike,Regular_achieverlike,Halfhearted,Regular_halfheartedlike,Regular_halfheartedlike,Achiever,
